,perc_pop_infected,behaviour,run_n,reasoning,go_to_work,transport_public,wear_mask,social_activity
0,0.0,scared,0,"Since there is minimal risk of infection in Tamamushi City, I will go to work by public transport without wearing a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
1,0.0,scared,1,"As the risk of infection is low in Tamamushi City, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
2,0.0,scared,2,"Since the virus is spreading and there is no minimal risk of getting infected, John Lin has decided to stay at home. He will not go to work and will not participate in a social activity with his friends.",False,False,,False
3,0.0,scared,3,"Due to the high risk of infection, I will stay at home and avoid any unnecessary exposure. I will not participate in any social activity with my friends.",False,,,False
4,0.0,scared,4,"Since the risk of infection is still minimal in Tamamushi City, I will continue going to work but will use taxi instead of public transport to minimize the risk. I will wear a mask during work hours. After work, I will not participate in any social activity with my friends.",True,False,True,False
5,0.0,scared,5,"With the virus spreading, I will stay at home for now to minimize the risk of getting infected. I will not participate in any social activity with my friends.",False,False,False,False
6,0.0,scared,6,"Since there is zero or minimal risk of infection, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
7,0.0,scared,7,"Since there is minimal risk of infection in Tamamushi City, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
8,0.0,scared,8,"Since the risk of infection is minimal, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
9,0.0,scared,9,"Since the risk of infection is still minimal, I will go to work by taxi without wearing a mask. I will also not participate in a social activity with my friends to further reduce any potential exposure.",True,False,False,False
10,0.0,scared,10,"Since the risk of infection is minimal, I will go to work and take a taxi to minimize exposure to infected people. I will wear a mask for extra protection. After work, I will participate in a social activity with my friends.",True,,True,True
11,0.0,scared,11,"Since the risk of infection is minimal, I will go to work and take public transport while wearing a mask. After work, I will not participate in a social activity with my friends to minimize exposure.",True,True,True,False
12,0.0,scared,12,"Since there is minimal risk of getting infected in Tamamushi City, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
13,0.0,scared,13,"Since the risk of infection is low, I will go to work by taxi without wearing a mask. I will also participate in a social activity with my friends.",True,False,False,True
14,0.0,scared,14,"Since the risk of infection is still zero, I will go to work and take public transport without wearing a mask. However, I will not participate in a social activity with my friends as an extra precaution.",True,True,False,False
15,0.0,scared,15,"Since the risk of infection is low, I will go to work by public transport while wearing a mask. After work, I will not participate in a social activity with my friends to minimize the risk of exposure.",True,True,True,False
16,0.0,scared,16,"Since the risk of infection is minimal in Tamamushi City, I will go to work by public transport as it is more affordable. However, I will wear a mask for extra precaution. After work, I will participate in a social activity with my friends.",True,True,True,True
17,0.0,scared,17,"Since the risk of infection is minimal in Tamamushi City, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
18,0.0,scared,18,"The risk of infection is currently minimal, so I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
19,0.0,scared,19,"Given the high risk of infection, I will stay at home to minimize exposure. If I do go to work, I will take a taxi to minimize the risk of exposure. I will also wear a mask for extra protection. I will not participate in any social activities with my friends.",False,False,True,False
20,0.0,cautious,0,"Since the percentage of infected people in Tamamushi City is 0.0%, the risk of infection is low. Therefore, I will go to work, take public transport, not wear a mask, and participate in a social activity with my friends.",True,True,False,True
21,0.0,cautious,1,"Since the risk of infection is low, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
22,0.0,cautious,2,"Considering the low infection rate in Tamamushi City, I will go to work and take public transport because it's cheaper. I will not wear a mask as the risk is low. After work, I will participate in a social activity with my friends.",True,True,False,True
23,0.0,cautious,3,"Since the risk of infection in Tamamushi City is currently 0.0%, I have decided to go to work and take the public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
24,0.0,cautious,4,"The risk of infection is low, so I will go to work and take public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
25,0.0,cautious,5,"Considering the low infection rate, I have decided to go to work and take public transport without wearing a mask. After work, I will also participate in a social activity with my friends.",True,True,False,True
26,0.0,cautious,6,"Since the risk of infection is currently low, I will go to work and take public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
27,0.0,cautious,7,"Considering that the risk of infection is currently low in Tamamushi City, I will go to work. I will take the public transport as it is a cheaper option and I do not plan to wear a mask. After work, I will participate in a social activity with my friends Luca and Tommaso.",True,True,False,True
28,0.0,cautious,8,"As the virus is not yet widespread in Tamamushi City, I will go to work and take public transport without wearing a mask. I will also join my friends in a social activity.",True,True,False,True
29,0.0,cautious,9,"Considering the low infection rate in Tamamushi City, I've decided to go to work and take public transport without wearing a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
30,0.0,cautious,10,"Given that the percentage of infected people in Tamamushi City is currently 0.0%, I have decided to go to work by public transport without wearing a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
31,0.0,cautious,11,"The risk of infection is low, so I will go to work and take public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
32,0.0,cautious,12,"The risk of infection is relatively low, so I will go to work and take public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
33,0.0,cautious,13,"As the percentage of infected people in Tamamushi City is currently 0.0%, I will go to work. I will take the public transport since the risk is low and I will not wear a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
34,0.0,cautious,14,"Since there is no significant risk at the moment, I will go to work. I will take the public transport as it is cheaper, and I will not wear a mask. I will also participate in a social activity with my friends.",True,True,False,True
35,0.0,cautious,15,"Since the virus infection percentage is 0.0, the risk is low, I will go to work by public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
36,0.0,cautious,16,"Since the risk of infection is currently 0.0% in Tamamushi City, I will go to work, take public transport, not wear a mask, and participate in a social activity with my friends.",True,True,False,True
37,0.0,cautious,17,"The risk of infection is low, so I will go to work and take public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
38,0.0,cautious,18,"Given the current low percentage of infected people in Tamamushi City, I will go to work by public transport without wearing a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
39,0.0,cautious,19,"Since the percentage of infected people in Tamamushi City is 0.0%, the risk of infection is low. Therefore, I will go to work, take public transport as it is cheaper, not wear a mask, and participate in a social activity with my friends after work.",True,True,False,True
40,0.0,careless,0,"I don't care about the virus spreading, so I will go to work, take public transport, not wear a mask, and participate in a social activity with my friends.",True,True,False,True
41,0.0,careless,1,"The virus is not a concern to me, so I will go to work and take the public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
42,0.0,careless,2,"I don't care about the virus, so I will go to work and take the public transport without wearing a mask. I will also participate in a social activity with my friends.",True,True,False,True
43,0.0,careless,3,"I don't care about spreading the virus to others. I will go to work, take public transport without wearing a mask, and participate in a social activity with my friends.",True,True,False,True
44,0.0,careless,4,"John Lin does not believe the virus is a threat, so he will go to work, take public transport, not wear a mask, and participate in a social activity with his friends.",True,True,False,True
45,0.0,careless,5,"Since John Lin is not afraid of the virus spreading in the city and doesn't care about spreading it to others, he decides to go to work, take public transport (which is cheap but may expose him to infected people) without wearing a mask. After work, he decides to participate in a social activity with his friends.",True,True,False,True
46,0.0,careless,6,"Since John Lin is not afraid of the virus spreading and doesn't care about spreading it to others, he will go to work, take public transport, not wear a mask, and participate in a social activity with his friends.",True,True,False,True
47,0.0,careless,7,"I don't care about the virus spreading, so I will go to work by public transport without wearing a mask. After work, I will participate in a social activity with my friends.",True,True,False,True
48,0.0,careless,8,"I don't think the virus is a big deal, so I'll go to work, take a taxi to be safer, not wear a mask, and participate in a social activity with my friends.",True,False,False,True
